IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,BYRNO,VehBCost,IsOnlineSale,WarrantyCost
0,12/14/2009,ADESA,2005,4,NISSAN,ALTIMA,Bas,4D SEDAN,WHITE,AUTO,71254,TOP LINE ASIAN,MEDIUM,OTHER,5684,6921,8976,10789,5976,7190,9374,10780,19638,7800,0,686
0,12/14/2009,ADESA,2003,6,CHEVROLET,CAVALIER 4C,Bas,2D COUPE,WHITE,MANUAL,72132,AMERICAN,COMPACT,GM,2228,3217,5256,7589,2128,2690,4855,5506,5546,3300,0,1455
0,01-04-2010,ADESA,2007,3,DODGE,CALIBER,SXT,4D WAGON SXT,MAROON,AUTO,65403,AMERICAN,MEDIUM,CHRYSLER,7149,,11086,12363,7937,,11415,,19638,6700,0,825
0,02-01-2010,ADESA,2004,6,NISSAN,ALTIMA,Bas,4D SEDAN,GREEN,AUTO,65379,TOP LINE ASIAN,MEDIUM,OTHER,4704,5612,7671,8988,5747,6830,,10242,19638,7700,0,630
0,02-01-2010,ADESA,2003,7,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,SILVER,MANUAL,73810,AMERICAN,COMPACT,GM,2105,2967,4771,5707,2659,3600,5185,5987,5546,4100,0,1455
0,2/22/2010,ADESA,2004,6,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,BLUE,AUTO,95443,AMERICAN,COMPACT,GM,2953,3810,6832,8814,2761,3702,5849,7843,5546,4300,0,1341
0,04-05-2010,ADESA,2008,2,DODGE,CALIBER,SE,4D WAGON,RED,AUTO,50644,AMERICAN,MEDIUM,CHRYSLER,7813,8262,11116,11566,7860,,11874,12643,19638,7500,0,754
0,04-05-2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,BLACK,AUTO,79284,AMERICAN,MEDIUM,CHRYSLER,7418,8680,10907,11962,6818,8145,10506,11814,21973,7000,0,920
0,04-12-2010,ADESA,2003,7,NISSAN,ALTIMA,Bas,4D SEDAN S,GREEN,AUTO,67696,TOP LINE ASIAN,MEDIUM,OTHER,4817,5876,7912,8935,4477,5597,7668,9242,19619,7300,0,930
0,4/19/2010,ADESA,2006,4,NISSAN,ALTIMA,Bas,4D SEDAN,GREY,AUTO,86466,TOP LINE ASIAN,MEDIUM,OTHER,8051,9773,11165,12876,,9842,11865,,19638,7400,0,723
0,4/26/2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,SILVER,AUTO,60201,AMERICAN,MEDIUM,CHRYSLER,6608,7873,10632,11668,6293,7170,9876,,19638,6400,0,825
0,05-10-2010,ADESA,2004,6,CHEVROLET,MALIBU MAXX V6,LS,4D SEDAN LS,WHITE,AUTO,83081,AMERICAN,MEDIUM,GM,5736,,9141,10634,4267,5528,7468,8563,19638,6100,0,1373
0,10-11-2010,ADESA,2002,8,NISSAN,ALTIMA,Bas,4D SEDAN,BLUE,AUTO,73638,TOP LINE ASIAN,MEDIUM,OTHER,3893,,,8193,3425,4446,6339,7763,19638,7350,0,986
0,10/25/2010,ADESA,2007,3,NISSAN,ALTIMA,Bas,4D SEDAN,SILVER,AUTO,64223,TOP LINE ASIAN,MEDIUM,OTHER,10213,11555,14505,15818,10322,12147,13974,16949,5546,9950,0,630
0,11-08-2010,ADESA,2008,2,DODGE,CALIBER,SXT,4D WAGON SXT,GOLD,AUTO,63456,AMERICAN,MEDIUM,CHRYSLER,8015,9078,12078,13240,8672,10052,12382,,19638,6600,0,825
0,11/29/2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,RED,AUTO,81646,AMERICAN,MEDIUM,CHRYSLER,6041,,9865,11110,6818,,10488,11582,20928,6200,0,983
