ID,Name,Age,Overall,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
228381,E. Granat,22,58,180000.0,1000.0,1600.0,Right,1.0,3.0,2.0,Medium/ Medium,68.0,134.0,56.0,48.0,37.0,63.0,42.0,63.0,51.0,39.0,60.0,61.0,75.0,65.0,81.0,50.0,84.0,53.0,79.0,64.0,33.0,50.0,65.0,43.0,51.0,54.0,42.0,50.0,52.0,45.0,38.0,10.0,11.0,12.0,9.0,14.0
223146,F. Rodríguez,22,62,425000.0,2000.0,1607.0,Right,1.0,4.0,3.0,Medium/ Low,70.0,172.0,61.0,60.0,48.0,62.0,54.0,65.0,62.0,56.0,61.0,65.0,68.0,68.0,68.0,58.0,68.0,63.0,60.0,67.0,48.0,60.0,55.0,40.0,47.0,61.0,48.0,50.0,40.0,25.0,25.0,12.0,7.0,9.0,8.0,8.0
208771,G. Buckley,24,62,375000.0,1000.0,1688.0,Right,1.0,3.0,3.0,Medium/ High,73.0,165.0,54.0,59.0,60.0,64.0,54.0,62.0,54.0,36.0,61.0,63.0,49.0,48.0,55.0,55.0,58.0,62.0,57.0,72.0,77.0,59.0,58.0,56.0,67.0,66.0,58.0,58.0,54.0,60.0,56.0,6.0,15.0,9.0,16.0,8.0
228388,M. Thiam,23,67,1200000.0,4000.0,1774.0,Right,1.0,3.0,3.0,Medium/ Medium,71.0,181.0,58.0,63.0,59.0,62.0,63.0,70.0,50.0,39.0,51.0,68.0,72.0,75.0,75.0,66.0,74.0,66.0,64.0,67.0,82.0,59.0,54.0,50.0,64.0,67.0,63.0,57.0,34.0,53.0,51.0,13.0,12.0,11.0,7.0,12.0
243243,S. Ucar,19,58,250000.0,1000.0,1503.0,Right,1.0,3.0,2.0,Medium/ High,69.0,143.0,41.0,30.0,53.0,63.0,29.0,51.0,34.0,32.0,53.0,56.0,64.0,62.0,73.0,54.0,80.0,49.0,59.0,52.0,50.0,46.0,57.0,57.0,36.0,48.0,38.0,42.0,57.0,62.0,60.0,7.0,14.0,12.0,15.0,9.0
189563,S. Salviato,30,65,400000.0,1000.0,1760.0,Right,1.0,3.0,2.0,Medium/ Medium,74.0,185.0,59.0,42.0,61.0,57.0,53.0,52.0,57.0,57.0,52.0,55.0,70.0,72.0,63.0,61.0,63.0,71.0,82.0,79.0,82.0,58.0,69.0,61.0,39.0,49.0,45.0,59.0,66.0,65.0,65.0,11.0,13.0,13.0,7.0,11.0
177761,P. Edwards,32,58,70000.0,2000.0,1575.0,Right,1.0,3.0,2.0,Low/ Low,68.0,157.0,54.0,51.0,59.0,54.0,33.0,53.0,33.0,24.0,52.0,57.0,51.0,53.0,66.0,60.0,83.0,50.0,75.0,66.0,65.0,51.0,65.0,61.0,27.0,49.0,56.0,55.0,51.0,58.0,57.0,12.0,15.0,14.0,12.0,8.0
189865,D. Templeton,29,66,625000.0,4000.0,1732.0,Right,1.0,4.0,4.0,High/ Low,69.0,139.0,62.0,63.0,54.0,60.0,54.0,68.0,57.0,60.0,53.0,62.0,78.0,81.0,76.0,60.0,75.0,64.0,57.0,62.0,64.0,60.0,54.0,48.0,65.0,61.0,58.0,62.0,42.0,46.0,42.0,11.0,6.0,8.0,10.0,11.0
204175,J. Al-Hazaimeh,26,64,450000.0,1000.0,1571.0,Left,1.0,3.0,2.0,Medium/ Low,76.0,172.0,60.0,26.0,67.0,61.0,18.0,63.0,38.0,50.0,48.0,60.0,64.0,73.0,41.0,60.0,43.0,71.0,33.0,70.0,78.0,41.0,69.0,57.0,43.0,23.0,66.0,49.0,62.0,64.0,62.0,13.0,14.0,11.0,15.0,7.0
244492,João Gabriel,29,66,500000.0,5000.0,1460.0,Left,1.0,4.0,2.0,Medium/ High,73.0,183.0,48.0,28.0,66.0,54.0,34.0,37.0,43.0,30.0,51.0,57.0,54.0,54.0,43.0,57.0,49.0,43.0,68.0,64.0,77.0,29.0,81.0,59.0,29.0,34.0,38.0,61.0,65.0,69.0,58.0,8.0,6.0,11.0,5.0,11.0
242629,João Moutinho,20,65,1100000.0,2000.0,1459.0,Right,1.0,2.0,2.0,Medium/ Medium,72.0,154.0,55.0,19.0,62.0,62.0,28.0,55.0,28.0,27.0,40.0,60.0,65.0,64.0,48.0,66.0,64.0,35.0,72.0,65.0,65.0,16.0,58.0,67.0,22.0,33.0,34.0,43.0,65.0,65.0,64.0,13.0,12.0,7.0,8.0,15.0
238900,E. Demirović,20,65,1200000.0,5000.0,1535.0,Right,1.0,3.0,2.0,Medium/ Medium,72.0,168.0,34.0,68.0,64.0,49.0,55.0,59.0,48.0,30.0,31.0,64.0,66.0,59.0,66.0,57.0,64.0,76.0,72.0,53.0,77.0,64.0,65.0,20.0,56.0,37.0,61.0,60.0,50.0,28.0,23.0,9.0,8.0,9.0,7.0,6.0
241493,S. Cartwright,17,58,170000.0,1000.0,1336.0,Right,1.0,2.0,2.0,Medium/ Medium,73.0,165.0,41.0,20.0,55.0,46.0,21.0,46.0,28.0,26.0,38.0,38.0,63.0,66.0,60.0,54.0,62.0,29.0,59.0,53.0,64.0,24.0,54.0,58.0,38.0,37.0,38.0,43.0,54.0,61.0,58.0,9.0,9.0,7.0,7.0,13.0
198144,A. Bannink,28,66,650000.0,3000.0,1789.0,Right,1.0,3.0,3.0,High/ Medium,73.0,165.0,63.0,64.0,52.0,67.0,54.0,68.0,55.0,64.0,65.0,67.0,59.0,50.0,62.0,62.0,60.0,70.0,57.0,84.0,78.0,66.0,65.0,55.0,65.0,70.0,65.0,66.0,51.0,52.0,52.0,11.0,13.0,10.0,6.0,7.0
244308,G. Fuentes,21,62,400000.0,1000.0,1585.0,Left,1.0,3.0,2.0,Medium/ Medium,71.0,163.0,47.0,39.0,52.0,54.0,37.0,55.0,43.0,25.0,49.0,57.0,77.0,79.0,73.0,64.0,68.0,38.0,65.0,74.0,63.0,41.0,69.0,62.0,48.0,48.0,36.0,56.0,51.0,58.0,60.0,6.0,14.0,12.0,15.0,6.0
171984,K. Lejeune,33,62,120000.0,1000.0,1811.0,Left,1.0,2.0,3.0,Medium/ Medium,71.0,179.0,68.0,46.0,66.0,68.0,61.0,60.0,70.0,66.0,65.0,63.0,56.0,65.0,74.0,63.0,61.0,61.0,63.0,57.0,66.0,60.0,67.0,60.0,59.0,68.0,70.0,59.0,55.0,59.0,54.0,6.0,12.0,16.0,11.0,15.0
231033,J. Maguire,22,59,180000.0,1000.0,1505.0,Left,1.0,2.0,2.0,Medium/ Medium,70.0,154.0,59.0,35.0,49.0,42.0,36.0,61.0,39.0,42.0,49.0,47.0,61.0,76.0,56.0,63.0,69.0,37.0,54.0,53.0,51.0,36.0,56.0,62.0,54.0,43.0,42.0,41.0,61.0,59.0,60.0,15.0,12.0,5.0,10.0,11.0
237595,M. Friedl,20,68,1300000.0,15000.0,1636.0,Left,1.0,2.0,2.0,Medium/ Medium,74.0,157.0,62.0,32.0,61.0,59.0,37.0,66.0,37.0,42.0,52.0,68.0,68.0,65.0,62.0,69.0,62.0,36.0,66.0,67.0,63.0,41.0,56.0,66.0,54.0,47.0,45.0,55.0,69.0,71.0,68.0,11.0,15.0,6.0,6.0,7.0
213665,J. Houghton,22,61,350000.0,3000.0,1657.0,Right,1.0,3.0,2.0,Medium/ High,72.0,174.0,45.0,49.0,53.0,68.0,49.0,54.0,61.0,59.0,67.0,64.0,71.0,62.0,45.0,50.0,61.0,50.0,77.0,75.0,64.0,50.0,65.0,55.0,50.0,53.0,39.0,63.0,58.0,59.0,51.0,12.0,7.0,8.0,11.0,15.0
234728,L. Bénes,20,69,2000000.0,9000.0,1735.0,Left,1.0,3.0,3.0,Medium/ Medium,71.0,159.0,71.0,62.0,38.0,76.0,75.0,64.0,76.0,68.0,63.0,71.0,67.0,64.0,76.0,58.0,78.0,64.0,59.0,58.0,56.0,68.0,49.0,28.0,63.0,69.0,50.0,56.0,35.0,33.0,47.0,12.0,10.0,9.0,9.0,9.0
190934,P. Uscanga,27,62,350000.0,2000.0,1656.0,Right,1.0,3.0,2.0,Medium/ Medium,65.0,132.0,46.0,33.0,47.0,64.0,62.0,61.0,40.0,42.0,61.0,59.0,75.0,69.0,77.0,67.0,78.0,50.0,64.0,71.0,42.0,46.0,58.0,70.0,53.0,58.0,45.0,62.0,54.0,63.0,61.0,8.0,6.0,12.0,6.0,8.0
237744,R. Kawai,39,53,0.0,1000.0,1223.0,Right,1.0,3.0,2.0,Medium/ Medium,72.0,165.0,39.0,35.0,39.0,62.0,27.0,41.0,35.0,42.0,45.0,47.0,32.0,28.0,30.0,47.0,54.0,37.0,32.0,31.0,48.0,41.0,50.0,54.0,24.0,40.0,43.0,57.0,60.0,59.0,55.0,13.0,6.0,7.0,11.0,9.0
232727,K. Ikeda,31,59,140000.0,1000.0,1453.0,Right,1.0,3.0,3.0,Medium/ Medium,70.0,159.0,30.0,60.0,52.0,62.0,55.0,62.0,46.0,42.0,50.0,61.0,68.0,57.0,70.0,53.0,65.0,52.0,61.0,51.0,68.0,52.0,40.0,18.0,50.0,67.0,62.0,55.0,33.0,10.0,13.0,13.0,8.0,5.0,10.0,7.0
244071,J. Hanek,19,53,100000.0,1000.0,1399.0,Right,1.0,3.0,2.0,Medium/ Medium,70.0,148.0,36.0,41.0,37.0,59.0,39.0,51.0,41.0,37.0,56.0,55.0,64.0,60.0,67.0,49.0,71.0,50.0,53.0,54.0,40.0,46.0,39.0,48.0,42.0,51.0,38.0,38.0,43.0,44.0,42.0,11.0,7.0,11.0,6.0,11.0
199747,J. Lauridsen,27,63,350000.0,2000.0,1689.0,Left,1.0,3.0,2.0,High/ Medium,71.0,168.0,63.0,42.0,48.0,61.0,44.0,54.0,65.0,56.0,57.0,63.0,72.0,74.0,68.0,61.0,66.0,57.0,68.0,75.0,63.0,40.0,56.0,64.0,60.0,56.0,38.0,62.0,57.0,61.0,53.0,6.0,8.0,10.0,11.0,12.0
163852,D. Sołdecki,31,62,200000.0,1000.0,1600.0,Right,1.0,3.0,2.0,Medium/ Medium,73.0,172.0,48.0,34.0,68.0,63.0,48.0,53.0,44.0,43.0,55.0,51.0,59.0,43.0,61.0,48.0,59.0,56.0,75.0,80.0,82.0,33.0,65.0,65.0,29.0,44.0,53.0,66.0,61.0,65.0,62.0,7.0,10.0,14.0,12.0,10.0
242503,E. Williamson,21,53,100000.0,1000.0,1407.0,Right,1.0,3.0,3.0,Medium/ Medium,69.0,154.0,41.0,38.0,43.0,61.0,40.0,53.0,55.0,39.0,62.0,55.0,52.0,65.0,58.0,51.0,74.0,60.0,50.0,42.0,57.0,28.0,47.0,28.0,43.0,50.0,42.0,56.0,45.0,39.0,47.0,5.0,8.0,10.0,9.0,10.0
