ID,Name,Age,Overall,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
228381,E. Granat,22,58,180000,1000,1600,Right,1,3,2,Medium/ Medium,68,134,56,48,37,63,42,63,51,39,60,61,75,65,81,50,84,53,79,64,33,50,65,43,51,54,42,50,52,45,38,10,11,12,9,14
223146,F. Rodríguez,22,62,425000,2000,1607,Right,1,4,3,Medium/ Low,70,172,61,60,48,62,54,65,62,56,61,65,68,68,68,58,68,63,60,67,48,60,55,40,47,61,48,50,40,25,25,12,7,9,8,8
208771,G. Buckley,24,62,375000,1000,1688,Right,1,3,3,Medium/ High,73,165,54,59,60,64,54,62,54,36,61,63,49,48,55,55,58,62,57,72,77,59,58,56,67,66,58,58,54,60,56,6,15,9,16,8
228388,M. Thiam,23,67,1200000,4000,1774,Right,1,3,3,Medium/ Medium,71,181,58,63,59,62,63,70,50,39,51,68,72,75,75,66,74,66,64,67,82,59,54,50,64,67,63,57,34,53,51,13,12,11,7,12
243243,S. Ucar,19,58,250000,1000,1503,Right,1,3,2,Medium/ High,69,143,41,30,53,63,29,51,34,32,53,56,64,62,73,54,80,49,59,52,50,46,57,57,36,48,38,42,57,62,60,7,14,12,15,9
189563,S. Salviato,30,65,400000,1000,1760,Right,1,3,2,Medium/ Medium,74,185,59,42,61,57,53,52,57,57,52,55,70,72,63,61,63,71,82,79,82,58,69,61,39,49,45,59,66,65,65,11,13,13,7,11
177761,P. Edwards,32,58,70000,2000,1575,Right,1,3,2,Low/ Low,68,157,54,51,59,54,33,53,33,24,52,57,51,53,66,60,83,50,75,66,65,51,65,61,27,49,56,55,51,58,57,12,15,14,12,8
189865,D. Templeton,29,66,625000,4000,1732,Right,1,4,4,High/ Low,69,139,62,63,54,60,54,68,57,60,53,62,78,81,76,60,75,64,57,62,64,60,54,48,65,61,58,62,42,46,42,11,6,8,10,11
204175,J. Al-Hazaimeh,26,64,450000,1000,1571,Left,1,3,2,Medium/ Low,76,172,60,26,67,61,18,63,38,50,48,60,64,73,41,60,43,71,33,70,78,41,69,57,43,23,66,49,62,64,62,13,14,11,15,7
244492,João Gabriel,29,66,500000,5000,1460,Left,1,4,2,Medium/ High,73,183,48,28,66,54,34,37,43,30,51,57,54,54,43,57,49,43,68,64,77,29,81,59,29,34,38,61,65,69,58,8,6,11,5,11
242629,João Moutinho,20,65,1100000,2000,1459,Right,1,2,2,Medium/ Medium,72,154,55,19,62,62,28,55,28,27,40,60,65,64,48,66,64,35,72,65,65,16,58,67,22,33,34,43,65,65,64,13,12,7,8,15
238900,E. Demirović,20,65,1200000,5000,1535,Right,1,3,2,Medium/ Medium,72,168,34,68,64,49,55,59,48,30,31,64,66,59,66,57,64,76,72,53,77,64,65,20,56,37,61,60,50,28,23,9,8,9,7,6
241493,S. Cartwright,17,58,170000,1000,1336,Right,1,2,2,Medium/ Medium,73,165,41,20,55,46,21,46,28,26,38,38,63,66,60,54,62,29,59,53,64,24,54,58,38,37,38,43,54,61,58,9,9,7,7,13
198144,A. Bannink,28,66,650000,3000,1789,Right,1,3,3,High/ Medium,73,165,63,64,52,67,54,68,55,64,65,67,59,50,62,62,60,70,57,84,78,66,65,55,65,70,65,66,51,52,52,11,13,10,6,7
244308,G. Fuentes,21,62,400000,1000,1585,Left,1,3,2,Medium/ Medium,71,163,47,39,52,54,37,55,43,25,49,57,77,79,73,64,68,38,65,74,63,41,69,62,48,48,36,56,51,58,60,6,14,12,15,6
171984,K. Lejeune,33,62,120000,1000,1811,Left,1,2,3,Medium/ Medium,71,179,68,46,66,68,61,60,70,66,65,63,56,65,74,63,61,61,63,57,66,60,67,60,59,68,70,59,55,59,54,6,12,16,11,15
231033,J. Maguire,22,59,180000,1000,1505,Left,1,2,2,Medium/ Medium,70,154,59,35,49,42,36,61,39,42,49,47,61,76,56,63,69,37,54,53,51,36,56,62,54,43,42,41,61,59,60,15,12,5,10,11
237595,M. Friedl,20,68,1300000,15000,1636,Left,1,2,2,Medium/ Medium,74,157,62,32,61,59,37,66,37,42,52,68,68,65,62,69,62,36,66,67,63,41,56,66,54,47,45,55,69,71,68,11,15,6,6,7
213665,J. Houghton,22,61,350000,3000,1657,Right,1,3,2,Medium/ High,72,174,45,49,53,68,49,54,61,59,67,64,71,62,45,50,61,50,77,75,64,50,65,55,50,53,39,63,58,59,51,12,7,8,11,15
234728,L. Bénes,20,69,2000000,9000,1735,Left,1,3,3,Medium/ Medium,71,159,71,62,38,76,75,64,76,68,63,71,67,64,76,58,78,64,59,58,56,68,49,28,63,69,50,56,35,33,47,12,10,9,9,9
190934,P. Uscanga,27,62,350000,2000,1656,Right,1,3,2,Medium/ Medium,65,132,46,33,47,64,62,61,40,42,61,59,75,69,77,67,78,50,64,71,42,46,58,70,53,58,45,62,54,63,61,8,6,12,6,8
237744,R. Kawai,39,53,0,1000,1223,Right,1,3,2,Medium/ Medium,72,165,39,35,39,62,27,41,35,42,45,47,32,28,30,47,54,37,32,31,48,41,50,54,24,40,43,57,60,59,55,13,6,7,11,9
